model_name,price
"Dell G3 Gaming Series G3 3500 (Intel Core i5 10th Gen 15.6 Inch)","₹27999"
"Dell Latitude 5000 Series 5310 (Intel Core i5 10th Gen 14 Inch)","₹25999"
"Dell Latitude 5000 Series 5320 TOUCH SCREEN (Intel Core i5 11th Gen 13.3 Inch)","₹34999"
"Dell XPS Series 13 7390 TOUCH SCREEN (Intel Core i5 10th Gen 13 Inch)","₹29999"
"Dell Inspiron 7000 Series 7373 Touch Screen (Intel Core i7 8th Gen 13.3 Inch)","₹24999"
"Dell XPS Series 9570 Touch screen (Intel Core i7 8th Gen 15.6 Inch)","₹23999"
"Dell XPS Series XPS 13 9370 (Intel Core i7 8th Gen 13.3 Inch)","₹23999"
"Dell Inspiron 3000 Series 15-3567 (Intel Core i5 7th Gen 15.6 Inch)","₹14999"
"Dell XPS Series 15 9570 (Intel Core i7 8th Gen 15.6 Inch)","₹23999"
"Dell Inspiron 5000 Series inspiron 5415 (AMD Ryzen5 5000U Series 14 Inch)","₹25999"
"Dell Inspiron 3000 Series 15 3535 (AMD Ryzen3 7000U Series 15.6 Inch)","₹25999"
"Dell Inspiron 7000 Series Inspiron 7560 (Intel Core i5 7th Gen 15.6 Inch)","₹16999"
"Dell Inspiron 5000 Series 5620 (Intel Core i7 12th Gen 16 Inch)","₹42999"
"Dell Inspiron 5000 Series 5567 (Intel Core i7 7th Gen 15.6 Inch)","₹23999"
"Dell Latitude 5000 Series 5495 (AMD Ryzen 5 PRO 2500U 14 Inch)","₹24999"
"Dell Inspiron 5000 2-in-1 Series 5410 2-in-1 Touch Screen (Intel Core i3 11th Gen 14 Inch)","₹24999"
"Dell Vostro 5000 Series 5410 (Intel Core i5 11th Gen 14 Inch)","₹27999"
"Dell Latitude 7000 Series 7400 Touch Screen (Intel Core i7 8th Gen 14 Inch)","₹23999"
"Dell Latitude 5000 Series 5580 (Intel Core i7 7th Gen 15.6 Inch)","₹19999"
"Dell Inspiron 7000 2-in-1 Series 7420 touch screen (Intel Core i3 12th Gen 14 Inch)","₹27999"
"Dell Inspiron 5000 Series Inspiron 5570 (Intel Core i7 8th Gen 15.6 Inch)","₹24999"
"Dell Inspiron 3000 Series 3583 (Intel Core i3 8th Gen 15.6 Inch)","₹15999"
"Dell Latitude 7000 Series 7440 (Intel Core i7 13th Gen 14 Inch)","₹69999"
"Dell Latitude 9000 Series Latitude 9430 (Intel Core i7 12th Gen 14 Inch)","₹54999"
"Dell XPS Series 13 7390 2-in-1 (Touch Screen) (Intel Core i7 10th Gen 13.3 Inch)","₹32999"
"Lenovo Thinkpad L Series L14 GEN 1 (Intel Core i5 10th Gen 14 Inch)","₹25999"
"Lenovo Thinkpad L Series L14 Gen 2 (Intel Core i5 11th Gen 14 Inch)","₹29499"
